Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts,Confederation
Senegal,1.3,1.3,20,0,0,0,0,0,0,0,0,CAF
Tunisia,1.15,1.2,26,0,0,0,0,0,0,0,0,CAF
Algeria,1.2,1.1,31,0,0,0,0,0,0,0,0,CAF
Morocco,1.1,1.1,35,0,0,0,0,0,0,0,0,CAF
Nigeria,1.15,1.05,35,0,0,0,0,0,0,0,0,CAF
Egypt,1.2,1.15,49,0,0,0,0,0,0,0,0,CAF
Cameroon,1.15,1.1,50,0,0,0,0,0,0,0,0,CAF
Ghana,1.1,1.05,52,0,0,0,0,0,0,0,0,CAF
Mali,1.1,1.1,57,0,0,0,0,0,0,0,0,CAF
Burkina Faso,1.05,0.95,58,0,0,0,0,0,0,0,0,CAF
Congo DR,0.95,1.05,60,0,0,0,0,0,0,0,0,CAF
Ivory Coast,1.2,1.05,61,0,0,0,0,0,0,0,0,CAF
South Africa,0.9,1,71,0,0,0,0,0,0,0,0,CAF
Guinea,0.85,0.8,73,0,0,0,0,0,0,0,0,CAF
Uganda,0.8,0.8,79,0,0,0,0,0,0,0,0,CAF
Cabo Verde,0.8,0.9,81,0,0,0,0,0,0,0,0,CAF
Benin,0.8,0.8,83,0,0,0,0,0,0,0,0,CAF
Gabon,0.85,0.67,86,0,0,0,0,0,0,0,0,CAF
Zambia,0.75,0.82,90,0,0,0,0,0,0,0,0,CAF
Congo,0.8,0.8,91,0,0,0,0,0,0,0,0,CAF
Madagascar,0.7,0.75,94,0,0,0,0,0,0,0,0,CAF
Mauritania,0.7,0.75,101,0,0,0,0,0,0,0,0,CAF
Kenya,0.75,0.76,104,0,0,0,0,0,0,0,0,CAF
Mozambique,0.7,0.78,106,0,0,0,0,0,0,0,0,CAF
Zimbabwe,0.7,0.74,108,0,0,0,0,0,0,0,0,CAF
Libya,0.75,0.73,111,0,0,0,0,0,0,0,0,CAF
Niger,0.7,0.67,113,0,0,0,0,0,0,0,0,CAF
Central African Republic,0.7,0.77,114,0,0,0,0,0,0,0,0,CAF
Sierra Leone,0.77,0.73,116,0,0,0,0,0,0,0,0,CAF
Namibia,0.69,0.72,119,0,0,0,0,0,0,0,0,CAF
Guinea-Bissau,0.65,0.67,120,0,0,0,0,0,0,0,0,CAF
Malawi,0.63,0.65,123,0,0,0,0,0,0,0,0,CAF
Angola,0.7,0.75,125,0,0,0,0,0,0,0,0,CAF
Sudan,0.6,0.6,127,0,0,0,0,0,0,0,0,CAF
Togo,0.72,0.58,128,0,0,0,0,0,0,0,0,CAF
Comoros,0.6,0.6,130,0,0,0,0,0,0,0,0,CAF
Rwanda,0.62,0.6,133,0,0,0,0,0,0,0,0,CAF
Equatorial Guinea,0.57,0.67,134,0,0,0,0,0,0,0,0,CAF
Tanzania,0.55,0.55,135,0,0,0,0,0,0,0,0,CAF
Burundi,0.57,0.58,138,0,0,0,0,0,0,0,0,CAF
Lesotho,0.53,0.5,143,0,0,0,0,0,0,0,0,CAF
Botswana,0.5,0.5,146,0,0,0,0,0,0,0,0,CAF
Ethiopia,0.52,0.5,146,0,0,0,0,0,0,0,0,CAF
Liberia,0.64,0.57,152,0,0,0,0,0,0,0,0,CAF
Eswatini,0.47,0.5,153,0,0,0,0,0,0,0,0,CAF
Gambia,0.55,0.45,157,0,0,0,0,0,0,0,0,CAF
South Sudan,0.4,0.4,163,0,0,0,0,0,0,0,0,CAF
Mauritius,0.45,0.5,172,0,0,0,0,0,0,0,0,CAF
Chad,0.42,0.4,178,0,0,0,0,0,0,0,0,CAF
Djibouti,0.37,0.37,184,0,0,0,0,0,0,0,0,CAF
Sao Tome and Principe,0.33,0.32,187,0,0,0,0,0,0,0,0,CAF
Somalia,0.3,0.3,197,0,0,0,0,0,0,0,0,CAF
Seychelles,0.29,0.29,202,0,0,0,0,0,0,0,0,CAF
Eritrea,0.27,0.28,205,0,0,0,0,0,0,0,0,CAF
